Retrieval_System | queryId | docId | score | p@20
bm_25_baseline | 1 | CACM-2950 | 12.222972803831029 | 0.1
bm_25_baseline | 2 | CACM-1012 | 9.199341357223531 | 0.15
bm_25_baseline | 3 | CACM-1029 | 6.701857490564421 | 0.0
bm_25_baseline | 4 | CACM-2438 | 21.077002105502064 | 0.1
bm_25_baseline | 5 | CACM-2106 | 15.301056944636814 | 0.15
bm_25_baseline | 6 | CACM-1885 | 10.618029929668882 | 0.05
bm_25_baseline | 7 | CACM-1698 | 18.967689674128657 | 0.4
bm_25_baseline | 8 | CACM-2482 | 11.011525012804412 | 0.1
bm_25_baseline | 9 | CACM-1695 | 11.25767573065038 | 0.2
bm_25_baseline | 10 | CACM-3077 | 6.158058545682977 | 0.4
bm_25_baseline | 11 | CACM-1860 | 7.692645889589334 | 0.35
bm_25_baseline | 12 | CACM-2080 | 5.544467135417448 | 0.15
bm_25_baseline | 13 | CACM-1651 | 7.224795682508563 | 0.2
bm_25_baseline | 14 | CACM-1752 | 9.750346257979635 | 0.1
bm_25_baseline | 15 | CACM-2716 | 10.422761710154289 | 0.1
bm_25_baseline | 16 | CACM-0696 | 11.087251348572217 | 0.1
bm_25_baseline | 17 | CACM-2433 | 6.824233385506248 | 0.25
bm_25_baseline | 18 | CACM-0950 | 8.950463099389076 | 0.05
bm_25_baseline | 19 | CACM-2700 | 4.26712523859443 | 0.3
bm_25_baseline | 20 | CACM-2142 | 6.843908687509426 | 0.1
bm_25_baseline | 21 | CACM-2703 | 7.391186376332428 | 0.2
bm_25_baseline | 22 | CACM-2473 | 10.572368364981102 | 0.1
bm_25_baseline | 23 | CACM-2630 | 6.293181294465759 | 0.15
bm_25_baseline | 24 | CACM-2740 | 4.055202196301389 | 0.1
bm_25_baseline | 25 | CACM-1728 | 7.784496747772147 | 0.35
bm_25_baseline | 26 | CACM-1463 | 7.678970373673511 | 0.3
bm_25_baseline | 27 | CACM-1750 | 8.593508474994907 | 0.35
bm_25_baseline | 28 | CACM-0944 | 16.895883347592203 | 0.2
bm_25_baseline | 29 | CACM-2767 | 7.7395564366542695 | 0.15
bm_25_baseline | 30 | CACM-3011 | 8.208700134462877 | 0.1
bm_25_baseline | 31 | CACM-0730 | 21.860588631102814 | 0.05
bm_25_baseline | 32 | CACM-3164 | 19.26745908738225 | 0.1
bm_25_baseline | 33 | CACM-1423 | 25.19699696594257 | 0.0
bm_25_baseline | 36 | CACM-1399 | 9.510608707175408 | 0.45
bm_25_baseline | 37 | CACM-1698 | 28.63295472154597 | 0.1
bm_25_baseline | 38 | CACM-1625 | 24.214860429143865 | 0.1
bm_25_baseline | 39 | CACM-2939 | 19.947466790274834 | 0.25
bm_25_baseline | 40 | CACM-2931 | 18.959335895487776 | 0.15
bm_25_baseline | 42 | CACM-2054 | 9.82440325205475 | 0.05
bm_25_baseline | 43 | CACM-2924 | 10.9835072264519 | 0.25
bm_25_baseline | 44 | CACM-1260 | 6.3670727979464115 | 0.3
bm_25_baseline | 45 | CACM-3002 | 14.880193121263753 | 0.3
bm_25_baseline | 48 | CACM-1385 | 16.23940766512612 | 0.05
bm_25_baseline | 49 | CACM-0651 | 8.900421219579183 | 0.1
bm_25_baseline | 57 | CACM-1700 | 7.546108299037396 | 0.05
