Term Term_Frequency
the 11014
of 9199
a 6368
and 4584
to 3736
is 3723
in 3455
cacm 3204
for 3173
jb 3001
1978 2995
pm 2221
are 1983
march 1831
algorithm 1618
an 1394
system 1228
by 1218
on 1206
be 1200
which 1183
this 1166
computer 1142
with 1126
that 1096
february 1011
am 987
as 961
january 934
data 929
j 897
program 825
programming 785
s 759
language 753
method 722
r 721
it 718
systems 701
2 618
9 599
m 593
can 592
10 589
3 581
from 535
time 532
may 519
paper 514
information 498
or 498
storage 496
d 494
problem 493
h 487
4 477
1 473
number 464
described 457
w 456
analysis 456
programs 443
presented 434
use 434
given 432
c 425
e 418
used 418
processing 410
17 408
g 406
these 404
memory 397
n 388
has 388
december 377
algorithms 375
at 365
p 355
design 355
been 354
l 345
one 343
8 342
such 342
set 340
some 340
function 336
problems 330
using 327
two 314
discussed 311
have 310
august 309
1963 304
june 304
b 302
april 302
july 300
not 299
6 296
i 296
structure 296
languages 294
methods 289
20 287
its 285
model 285
november 278
11 276
k 273
13 272
matrix 272
functions 272
control 270
22 269
new 268
october 267
technique 266
each 266
12 261
results 261
other 260
also 258
file 258
techniques 257
general 256
f 255
september 252
14 250
1962 248
7 245
retrieval 241
solution 241
23 238
linear 238
into 236
t 235
shown 233
more 231
list 230
error 229
simulation 226
equations 222
all 220
than 219
1977 218
machine 218
structures 215
search 215
performance 213
procedure 212
between 211
1964 209
any 208
fortran 207
operating 205
allocation 205
implementation 199
code 198
simple 196
computing 195
1970 194
based 194
large 192
1979 190
automatic 190
1965 189
both 187
input 187
several 186
algol 185
procedures 184
numerical 184
was 183
27 181
1961 181
their 180
1966 178
when 178
16 177
process 177
28 176
15 175
1972 173
computers 171
user 171
developed 170
only 169
standard 169
decision 168
proposed 167
but 167
many 165
1969 165
1967 163
1973 161
tree 160
order 159
random 159
scheduling 158
arithmetic 158
efficient 157
integration 156
evaluation 153
certain 152
5 151
digital 151
will 151
operations 151
compiler 149
computation 148
table 148
4.22 148
30 147
most 147
management 147
1968 146
complex 146
1960 145
network 144
first 144
application 144
tables 144
binary 142
variables 141
1974 141
4.32 139
space 138
form 137
required 137
then 137
made 136
software 136
parallel 135
applications 134
optimal 133
science 133
distribution 133
possible 132
basic 132
if 131
sorting 131
approach 130
processes 130
representation 128
jr 128
graph 127
o 126
trees 126
organization 126
display 126
theory 125
dh 125
series 125
various 125
4.12 125
development 124
values 123
scheme 123
particular 121
execution 121
size 121
level 120
over 120
output 120
31 119
considered 119
access 119
ibm 118
were 118
manipulation 118
paging 118
3.74 118
polynomial 117
matrices 117
dynamic 116
generation 116
examples 116
how 115
1975 115
rules 115
cost 111
18 110
terms 110
errors 110
numbers 109
26 108
small 108
pattern 108
time-sharing 107
test 107
multiprogramming 107
processor 107
grammar 107
1971 106
special 106
applied 106
purpose 105
well 105
where 105
under 105
expressions 105
different 104
very 104
24 103
features 103
real 103
v 102
21 102
study 102
models 102
quadrature 102
case 102
defined 101
mathematical 101
approximation 101
they 101
types 101
x 100
communication 100
value 100
optimization 100
text 100
means 100
part 100
conditions 100
differential 99
three 99
computational 99
research 98
through 98
syntax 98
obtained 97
description 97
example 97
hardware 97
properties 96
describes 96
virtual 95
no 95
type 95
must 95
within 95
key 94
string 94
class 94
equation 94
formal 94
work 94
statements 94
29 93
searching 93
networks 93
available 93
designed 93
there 93
grammars 92
education 91
characteristics 91
interactive 91
efficiency 91
5.24 91
3.73 91
5.5 90
base 89
so 89
those 89
comparison 89
files 88
point 88
common 87
we 87
requirements 87
without 87
fast 87
implemented 87
present 86
provides 86
important 86
report 85
provide 85
polynomials 85
natural 85
parsing 84
1976 84
least 84
environment 84
written 84
40 83
generator 83
operation 83
definition 83
flow 82
60 82
second 82
same 82
algebraic 82
fourier 82
compared 81
integral 81
practical 81
users 80
transformation 80
graphics 80
strings 80
note 80
called 80
recognition 80
normal 80
rule 79
points 79
character 79
complexity 79
multiple 78
about 78
experimental 78
parameters 78
uses 78
reference 78
necessary 77
sets 77
behavior 77
cobol 76
sequence 76
conversion 75
known 74
5.14 74
way 74
high 74
instruction 74
32 73
symbolic 73
presents 73
generating 73
concept 73
extension 73
allows 73
length 72
main 72
19 72
37 72
collection 72
requires 72
working 72
35 71
coding 71
resource 71
experiments 71
useful 71
derived 71
variable 71
25 70
structured 70
disk 70
found 70
recursive 70
out 70
words 69
similar 69
correctness 69
proof 69
syntactic 69
logical 68
need 68
compilers 68
do 68
construction 68
associated 68
line 68
translation 68
y 67
being 67
speed 67
statistical 67
source 67
1959 67
direct 67
single 67
complete 67
average 66
33 66
45 66
significant 66
provided 66
5.12 66
debugging 66
protection 65
specification 65
calculation 65
minimum 65
elements 65
basis 65
however 65
solutions 64
independent 64
coefficients 64
included 64
addressing 64
4.9 64
programmer 64
5.13 64
here 64
area 64
object 64
since 64
during 64
curve 63
36 63
50 63
lisp 63
major 63
tape 63
solving 63
security 63
processors 63
array 63
sharing 62
addition 62
partial 62
hash 62
state 62
them 62
much 62
4.49 62
should 62
result 61
further 61
44 61
46 61
49 61
concepts 61
conventional 61
record 61
statement 61
core 61
machines 61
precedence 61
finding 61
page 61
database 61
expression 60
43 60
context-free 60
interpolation 60
division 60
symmetric 60
formulas 60
university 60
because 60
store 60
picture 59
nonlinear 59
codes 59
squares 59
5.32 59
5.39 59
characters 59
logic 59
cases 59
34 58
42 58
although 58
index 58
suggested 58
block 58
including 58
another 58
5.25 58
rather 58
surface 58
57 57
four 57
pl 57
up 57
aspects 57
permutations 57
among 57
criteria 57
variety 57
often 57
modified 57
upon 57
lists 57
bit 57
exponential 57
times 56
semantics 56
38 56
41 56
52 56
54 56
ii 56
analyzed 56
include 56
probability 56
terminal 56
image 56
gamma 56
360 56
while 56
ordinary 56
records 56
fixed 56
inversion 56
z 55
47 55
48 55
56 55
59 55
best 55
sequential 55
roots 55
relative 55
minimal 55
accuracy 55
finite 55
on-line 55
relations 55
arbitrary 55
acm 55
39 54
garbage 54
field 54
permits 54
heuristic 54
4.0 54
generalized 54
4.30 54
objects 54
either 54
total 54
boolean 54
additional 54
sort 54
02 53
58 53
generated 53
discussion 53
less 53
capabilities 53
future 53
thus 53
blocks 53
selection 53
specific 53
american 53
integer 53
55 52
his 52
testing 52
does 52
semantic 52
specified 52
facilities 52
hashing 52
4.20 52
distributed 52
limited 52
3.70 52
09 51
examined 51
graphical 51
fitting 51
even 51
prime 51
assignment 51
symbol 51
lines 51
detection 51
arrays 51
make 50
classes 50
advantages 50
initial 50
5.23 50
8.1 50
whose 50
stored 50
permutation 50
amount 50
current 50
factors 49
square 49
produce 49
real-time 49
english 49
measurement 49
5.31 49
floating-point 49
reduction 49
course 49
introduced 49
curriculum 49
degree 49
extended 49
finally 48
51 48
53 48
instructions 48
query 48
translator 48
what 48
range 48
expected 48
optimum 48
transform 48
graphs 48
levels 48
applicable 48
editing 48
chebyshev 48
07 47
effect 47
elementary 47
power 47
graphic 47
existing 47
require 47
suitable 47
5.41 47
verification 47
event 47
usage 47
subroutines 47
student 46
nodes 46
address 46
elimination 46
matching 46
format 46
interval 46
word 46
items 46
integrals 46
performed 45
03 45
05 45
needed 45
easily 45
mathematics 45
symbols 45
recursion 45
transformations 45
eigenvalues 45
subject 45
utilization 45
5.16 45
changes 45
whether 45
4.41 45
correction 45
related 45
easy 45
ordering 45
determine 45
devices 45
choice 45
monitor 45
years 45
consists 45
effective 44
business 44
04 44
constraints 44
formula 44
technology 44
handling 44
proving 44
allow 44
writing 44
detail 44
bound 44
patterns 44
determining 44
3.50 44
contour 44
path 44
human 44
algebra 44
08 43
entry 43
corresponding 43
would 43
experience 43
bits 43
illustrated 43
events 43
4.34 43
3.63 43
detailed 43
notation 42
01 42
06 42
interest 42
represented 42
context 42
discusses 42
mean 42
log 42
routine 42
smith 42
segmentation 42
5.11 42
variance 42
generators 42
alternative 42
mechanisms 42
group 42
find 42
aid 42
1.52 42
improved 42
question 41
discrete 41
planning 41
project 41
involving 41
learning 41
remote 41
task 41
routines 41
feature 41
4.39 41
components 41
thacher 41
sufficient 40
operators 40
production 40
improvement 40
courses 40
1958 40
drum 40
run 40
includes 40
quadratic 40
show 40
approximations 40
iterative 40
internal 40
boundary 40
compilation 40
00 39
previous 39
relation 39
orthogonal 39
device 39
inverse 39
service 39
per 39
proved 39
methodology 39
empirical 39
4.19 39
architecture 39
directly 39
iteration 39
survey 39
facility 39
artificial 39
u 38
iv 38
recent 38
correct 38
distributions 38
functional 38
free 38
abstract 38
precision 38
computations 38
students 38
engineering 38
percent 38
modeling 38
sequences 38
makes 38
areas 38
appropriate 38
tests 38
strategy 38
rate 38
replacement 38
local 38
original 38
directed 38
theoretical 38
five 38
constructed 38
root 37
property 37
interaction 37
usually 37
automatically 37
keys 37
standards 37
ordered 37
factor 37
costs 37
committee 37
questions 37
demand 37
command 37
itself 37
frequency 37
modification 36
describe 36
differences 36
interchange 36
respect 36
perform 36
evaluating 36
higher 36
4.2 36
intelligence 36
emphasis 36
assembly 36
3.79 36
adaptive 36
utility 36
give 36
effects 36
hierarchy 36
activity 36
together 36
tasks 36
after 35
outlined 35
step 35
version 35
forms 35
produced 35
iii 35
subset 35
professional 35
communications 35
specifications 35
positive 35
briefly 35
uniform 35
constant 35
central 35
statistics 35
difficult 35
steps 35
4.35 35
estimates 35
bounds 35
combinatorial 35
3.81 35
center 35
obtain 35
sentences 35
better 34
few 34
d1 34
spline 34
before 34
map 34
sizes 34
toward 34
scatter 34
buddy 34
transmission 34
documentation 34
gaussian 34
zeros 34
particularly 34
could 34
containing 34
minimization 34
corrigendum 34
manner 34
parser 34
response 34
good 33
comments 33
shows 33
advantage 33
fit 33
powerful 33
constructing 33
teaching 33
physical 33
mechanism 33
estimate 33
solve 33
three-dimensional 33
resources 33
mode 33
buffer 33
nature 33
sum 33
rational 33
effectiveness 33
activities 33
insertion 33
decimal 33
simultaneous 33
combinations 33
3.15 33
involved 33
resulting 33
relatively 33
material 33
job 32
equivalent 32
indicate 32
expressed 32
studies 32
merge 32
1980 32
determinant 32
highly 32
stage 32
4.6 32
programmed 32
running 32
5.17 32
5.30 32
hierarchical 32
decomposition 32
effort 32
fact 32
4.29 32
social 32
3.72 32
indexing 32
recently 32
deadlock 32
published 32
implications 31
cpu 31
relationship 31
approximate 31
subroutine 31
having 31
pictures 31
poin 31
proofs 31
parts 31
employed 31
computed 31
kind 31
7090 31
organizations 31
synchronization 31
generalization 31
long 31
parameter 31
game 31
determination 31
history 31
4.13 31
8.2 31
read 31
following 31
3.42 31
primary 31
online 31
reduced 31
0 30
frequently 30
full 30
queueing 30
identified 30
tested 30
composition 30
achieved 30
5.15 30
issues 30
graduate 30
taken 30
multiplication 30
maintenance 30
combination 30
location 30
typical 30
every 30
transfer 30
increase 30
generate 30
actual 29
critical 29
introduction 29
attempt 29
db 29
ability 29
wave 29
macro 29
ideas 29
associative 29
library 29
routing 29
sample 29
secondary 29
6.35 29
encoding 29
termination 29
multiprocessing 29
batch 29
input-output 29
individual 29
making 29
document 29
oriented 29
approaches 29
generally 29
combined 29
diagnostic 29
relational 28
a1 28
scale 28
ways 28
characteristic 28
providing 28
previously 28
compiling 28
automata 28
reliability 28
equipment 28
against 28
partitioning 28
superior 28
achieve 28
induction 28
reduce 28
6.20 28
permit 28
final 28
3.7 28
scan 28
rapid 28
requirement 28
difference 28
potential 28
convergence 28
conditional 28
handle 28
unit 28
regular 28
policy 28
theorem 28
derivatives 28
checking 28
newton 28
regions 28
register 28
states 27
eft 27
next 27
g6 27
content 27
concerning 27
quite 27
low 27
node 27
link 27
compute 27
knowledge 27
take 27
occur 27
message 27
view 27
little 27
change 27
half 27
concurrent 27
relationships 27
exact 27
automated 27
4.42 27
national 27
jobs 27
3.51 27
programmers 27
comparisons 27
gives 27
efficiently 27
greater 27
package 27
element 26
integers 26
section 26
compression 26
he 26
lr 26
analyzer 26
concerned 26
workload 26
primitive 26
studied 26
condition 26
sense 26
along 26
connected 26
wide 26
rectangular 26
restricted 26
implementing 26
1.5 26
desired 26
terminals 26
right 26
continuous 26
scientific 26
abstraction 26
5.19 26
literature 26
fundamental 26
identification 26
minimizing 26
define 26
explicit 26
region 26
support 26
external 26
flexible 26
transition 26
illustrate 26
descriptions 26
extensions 26
stability 25
maximum 25
magnetic 25
fragmentation 25
understanding 25
gray 25
suggests 25
larger 25
interference 25
runs 25
spanning 25
product 25
recommendations 25
relating 25
our 25
component 25
request 25
appears 25
s14 25
mutual 25
stack 25
term 25
partitions 25
obtaining 25
circuit 25
framework 25
ratio 25
definitions 25
bounded 25
hill 25
equal 25
assumed 25
actions 25
