DocumentId Total_Terms Document_Length
CACM-0001 20 20
CACM-0002 22 22
CACM-0003 20 20
CACM-0004 18 18
CACM-0005 17 17
CACM-0006 21 21
CACM-0007 18 18
CACM-0008 22 22
CACM-0009 18 18
CACM-0010 18 18
CACM-0011 32 35
CACM-0012 22 22
CACM-0013 18 18
CACM-0014 33 36
CACM-0015 17 17
CACM-0016 20 20
CACM-0017 19 19
CACM-0018 20 21
CACM-0019 18 18
CACM-0020 44 57
CACM-0021 19 19
CACM-0022 24 25
CACM-0023 26 26
CACM-0024 19 19
CACM-0025 18 18
CACM-0026 20 20
CACM-0027 25 25
CACM-0028 20 20
CACM-0029 17 17
CACM-0030 23 24
CACM-0031 15 16
CACM-0032 17 18
CACM-0033 26 27
CACM-0034 18 18
CACM-0035 20 20
CACM-0036 30 31
CACM-0037 18 18
CACM-0038 22 22
CACM-0039 33 47
CACM-0040 111 183
CACM-0041 21 21
CACM-0042 23 24
CACM-0043 20 20
CACM-0044 20 20
CACM-0045 19 20
CACM-0046 78 106
CACM-0047 20 22
CACM-0048 112 173
CACM-0049 21 21
CACM-0050 22 22
CACM-0051 24 24
CACM-0052 28 30
CACM-0053 17 17
CACM-0054 29 30
CACM-0055 16 16
CACM-0056 16 16
CACM-0057 16 16
CACM-0058 53 71
CACM-0059 33 39
CACM-0060 23 24
CACM-0061 18 18
CACM-0062 19 19
CACM-0063 48 68
CACM-0064 19 19
CACM-0065 24 25
CACM-0066 22 24
CACM-0067 16 16
CACM-0068 75 105
CACM-0069 38 44
CACM-0070 41 56
CACM-0071 107 167
CACM-0072 18 18
CACM-0073 19 19
CACM-0074 18 18
CACM-0075 19 20
CACM-0076 22 23
CACM-0077 22 22
CACM-0078 88 133
CACM-0079 23 23
CACM-0080 28 28
CACM-0081 17 17
CACM-0082 35 43
CACM-0083 24 24
CACM-0084 37 43
CACM-0085 21 21
CACM-0086 38 51
CACM-0087 24 26
CACM-0088 31 32
CACM-0089 30 30
CACM-0090 26 26
CACM-0091 20 20
CACM-0092 70 97
CACM-0093 32 39
CACM-0094 33 42
CACM-0095 78 107
CACM-0096 69 86
CACM-0097 29 31
CACM-0098 23 24
CACM-0099 19 20
CACM-0100 21 21
CACM-0101 18 18
CACM-0102 25 25
CACM-0103 86 116
CACM-0104 87 120
CACM-0105 26 26
CACM-0106 86 124
CACM-0107 20 20
CACM-0108 22 22
CACM-0109 19 19
CACM-0110 16 16
CACM-0111 64 86
CACM-0112 22 22
CACM-0113 19 19
CACM-0114 22 22
CACM-0115 17 17
CACM-0116 70 97
CACM-0117 23 24
CACM-0118 20 20
CACM-0119 18 18
CACM-0120 22 22
CACM-0121 18 18
CACM-0122 24 25
CACM-0123 69 84
CACM-0124 47 62
CACM-0125 18 18
CACM-0126 22 22
CACM-0127 16 16
CACM-0128 18 18
CACM-0129 20 21
CACM-0130 21 21
CACM-0131 20 20
CACM-0132 17 17
CACM-0133 22 22
CACM-0134 23 23
CACM-0135 18 18
CACM-0136 21 21
CACM-0137 22 22
CACM-0138 23 23
CACM-0139 17 18
CACM-0140 19 19
CACM-0141 19 19
CACM-0142 21 21
CACM-0143 27 28
CACM-0144 97 123
CACM-0145 18 18
CACM-0146 61 88
CACM-0147 20 20
CACM-0148 18 18
CACM-0149 32 32
CACM-0150 21 21
CACM-0151 18 18
CACM-0152 19 19
CACM-0153 19 19
CACM-0154 20 20
CACM-0155 15 15
CACM-0156 23 23
CACM-0157 19 19
CACM-0158 19 19
CACM-0159 18 18
CACM-0160 19 19
CACM-0161 20 20
CACM-0162 19 19
CACM-0163 19 20
CACM-0164 21 21
CACM-0165 20 21
CACM-0166 24 24
CACM-0167 20 20
CACM-0168 23 25
CACM-0169 18 18
CACM-0170 22 22
CACM-0171 19 20
CACM-0172 18 18
CACM-0173 19 19
CACM-0174 28 30
CACM-0175 27 27
CACM-0176 22 22
CACM-0177 29 31
CACM-0178 17 17
CACM-0179 24 24
CACM-0180 24 24
CACM-0181 24 24
CACM-0182 24 24
CACM-0183 18 18
CACM-0184 27 28
CACM-0185 94 127
CACM-0186 21 21
CACM-0187 16 16
CACM-0188 23 23
CACM-0189 20 20
CACM-0190 14 14
CACM-0191 19 19
CACM-0192 21 22
CACM-0193 20 20
CACM-0194 21 21
CACM-0195 18 18
CACM-0196 22 22
CACM-0197 18 18
CACM-0198 20 20
CACM-0199 16 17
CACM-0200 21 21
CACM-0201 21 21
CACM-0202 69 95
CACM-0203 26 26
CACM-0204 19 19
CACM-0205 52 58
CACM-0206 17 17
CACM-0207 20 20
CACM-0208 23 23
CACM-0209 21 21
CACM-0210 25 25
CACM-0211 17 18
CACM-0212 16 17
CACM-0213 18 19
CACM-0214 19 20
CACM-0215 21 22
CACM-0216 22 24
CACM-0217 13 14
CACM-0218 19 20
CACM-0219 16 16
CACM-0220 24 25
CACM-0221 20 20
CACM-0222 50 57
CACM-0223 16 16
CACM-0224 78 98
CACM-0225 20 20
CACM-0226 22 23
CACM-0227 15 16
CACM-0228 17 17
CACM-0229 16 16
CACM-0230 20 20
CACM-0231 25 27
CACM-0232 20 21
CACM-0233 19 19
CACM-0234 20 21
CACM-0235 17 17
CACM-0236 46 61
CACM-0237 18 18
CACM-0238 22 25
CACM-0239 25 28
CACM-0240 24 24
CACM-0241 68 115
CACM-0242 54 59
CACM-0243 103 166
CACM-0244 19 19
CACM-0245 25 26
CACM-0246 21 21
CACM-0247 19 19
CACM-0248 62 99
CACM-0249 23 25
CACM-0250 20 20
CACM-0251 55 66
CACM-0252 64 82
CACM-0253 27 29
CACM-0254 84 111
CACM-0255 17 17
CACM-0256 21 21
CACM-0257 19 19
CACM-0258 19 19
CACM-0259 19 20
CACM-0260 19 19
CACM-0261 16 16
CACM-0262 17 18
CACM-0263 20 20
CACM-0264 19 19
CACM-0265 49 59
CACM-0266 22 22
CACM-0267 22 22
CACM-0268 21 21
CACM-0269 19 19
CACM-0270 20 20
CACM-0271 24 25
CACM-0272 62 86
CACM-0273 20 20
CACM-0274 28 28
CACM-0275 22 22
CACM-0276 54 68
CACM-0277 23 23
CACM-0278 104 182
CACM-0279 20 20
CACM-0280 22 23
CACM-0281 54 58
CACM-0282 87 142
CACM-0283 18 18
CACM-0284 87 120
CACM-0285 21 21
CACM-0286 22 22
CACM-0287 20 20
CACM-0288 22 22
CACM-0289 19 19
CACM-0290 18 18
CACM-0291 21 21
CACM-0292 31 31
CACM-0293 23 24
CACM-0294 17 17
CACM-0295 22 24
CACM-0296 21 23
CACM-0297 23 23
CACM-0298 78 110
CACM-0299 18 19
CACM-0300 50 59
CACM-0301 21 21
CACM-0302 17 17
CACM-0303 49 66
CACM-0304 23 23
CACM-0305 16 16
CACM-0306 16 16
CACM-0307 18 18
CACM-0308 18 18
CACM-0309 18 18
CACM-0310 25 26
CACM-0311 19 19
CACM-0312 20 20
CACM-0313 22 22
CACM-0314 23 23
CACM-0315 18 18
CACM-0316 24 24
CACM-0317 24 24
CACM-0318 20 20
CACM-0319 73 111
CACM-0320 84 117
CACM-0321 136 224
CACM-0322 96 130
CACM-0323 22 22
CACM-0324 18 18
CACM-0325 22 22
CACM-0326 17 17
CACM-0327 26 27
CACM-0328 17 17
CACM-0329 80 124
CACM-0330 23 24
CACM-0331 23 23
CACM-0332 55 70
CACM-0333 29 30
CACM-0334 21 22
CACM-0335 67 94
CACM-0336 27 30
CACM-0337 20 20
CACM-0338 18 18
CACM-0339 23 23
CACM-0340 17 17
CACM-0341 17 17
CACM-0342 21 21
CACM-0343 23 23
CACM-0344 20 20
CACM-0345 22 22
CACM-0346 23 23
CACM-0347 23 23
CACM-0348 22 22
CACM-0349 19 19
CACM-0350 26 26
CACM-0351 23 25
CACM-0352 19 19
CACM-0353 21 21
CACM-0354 28 28
CACM-0355 21 21
CACM-0356 17 17
CACM-0357 20 20
CACM-0358 21 21
CACM-0359 17 17
CACM-0360 19 19
CACM-0361 21 21
CACM-0362 17 17
CACM-0363 20 20
CACM-0364 20 20
CACM-0365 22 22
CACM-0366 21 22
CACM-0367 55 82
CACM-0368 21 22
CACM-0369 19 20
CACM-0370 17 18
CACM-0371 23 27
CACM-0372 17 18
CACM-0373 19 20
CACM-0374 15 17
CACM-0375 16 17
CACM-0376 16 17
CACM-0377 16 17
CACM-0378 22 23
CACM-0379 14 15
CACM-0380 53 75
CACM-0381 19 20
CACM-0382 21 21
CACM-0383 23 23
CACM-0384 18 18
CACM-0385 17 17
CACM-0386 18 18
CACM-0387 18 18
CACM-0388 24 24
CACM-0389 18 18
CACM-0390 23 23
CACM-0391 19 20
CACM-0392 20 21
CACM-0393 25 27
CACM-0394 18 18
CACM-0395 15 15
CACM-0396 83 120
CACM-0397 92 171
CACM-0398 17 17
CACM-0399 27 28
CACM-0400 28 28
CACM-0401 21 21
CACM-0402 16 16
CACM-0403 26 27
CACM-0404 21 21
CACM-0405 48 52
CACM-0406 32 34
CACM-0407 23 24
CACM-0408 25 27
CACM-0409 91 131
CACM-0410 18 18
CACM-0411 24 24
CACM-0412 18 19
CACM-0413 22 23
CACM-0414 43 53
CACM-0415 22 22
CACM-0416 25 28
CACM-0417 79 110
CACM-0418 17 17
CACM-0419 19 19
CACM-0420 17 17
CACM-0421 21 21
CACM-0422 17 17
CACM-0423 18 18
CACM-0424 18 18
CACM-0425 18 18
CACM-0426 20 20
CACM-0427 16 16
CACM-0428 18 18
CACM-0429 23 23
CACM-0430 18 18
CACM-0431 18 18
CACM-0432 20 20
CACM-0433 19 19
CACM-0434 21 21
CACM-0435 87 123
CACM-0436 19 19
CACM-0437 18 20
CACM-0438 22 24
CACM-0439 27 27
CACM-0440 96 128
CACM-0441 105 157
CACM-0442 21 21
CACM-0443 23 23
CACM-0444 20 20
CACM-0445 17 17
CACM-0446 19 19
CACM-0447 19 20
CACM-0448 18 18
CACM-0449 18 18
CACM-0450 22 22
CACM-0451 22 23
CACM-0452 22 23
CACM-0453 18 19
CACM-0454 21 21
CACM-0455 19 19
CACM-0456 17 17
CACM-0457 20 21
CACM-0458 21 21
CACM-0459 18 18
CACM-0460 17 17
CACM-0461 24 25
CACM-0462 104 140
CACM-0463 20 20
CACM-0464 90 161
CACM-0465 17 17
