DocumentId Total_Terms Document_Length
CACM-0001 21 21
CACM-0002 22 22
CACM-0003 20 20
CACM-0004 18 18
CACM-0005 18 18
CACM-0006 21 21
CACM-0007 18 18
CACM-0008 22 22
CACM-0009 18 18
CACM-0010 18 18
CACM-0011 33 36
CACM-0012 23 23
CACM-0013 18 18
CACM-0014 33 36
CACM-0015 17 17
CACM-0016 20 20
CACM-0017 19 19
CACM-0018 20 21
CACM-0019 18 18
CACM-0020 41 57
CACM-0021 19 19
CACM-0022 24 25
CACM-0023 27 27
CACM-0024 19 19
CACM-0025 18 18
CACM-0026 20 20
CACM-0027 25 25
CACM-0028 20 20
CACM-0029 17 17
CACM-0030 23 24
CACM-0031 16 17
CACM-0032 19 20
CACM-0033 26 27
CACM-0034 18 18
CACM-0035 21 21
CACM-0036 30 31
CACM-0037 18 18
CACM-0038 22 22
CACM-0039 35 49
CACM-0040 106 186
CACM-0041 21 21
CACM-0042 23 24
CACM-0043 20 20
CACM-0044 21 21
CACM-0045 20 21
CACM-0046 73 107
CACM-0047 20 22
CACM-0048 105 180
CACM-0049 21 21
CACM-0050 22 22
CACM-0051 25 25
CACM-0052 29 31
CACM-0053 17 17
CACM-0054 29 30
CACM-0055 16 16
CACM-0056 16 16
CACM-0057 16 16
CACM-0058 53 72
CACM-0059 33 39
CACM-0060 23 24
CACM-0061 18 18
CACM-0062 21 21
CACM-0063 49 70
CACM-0064 19 19
CACM-0065 25 26
CACM-0066 22 24
CACM-0067 17 17
CACM-0068 72 105
CACM-0069 38 44
CACM-0070 40 56
CACM-0071 101 170
CACM-0072 18 18
CACM-0073 19 19
CACM-0074 19 19
CACM-0075 19 20
CACM-0076 22 23
CACM-0077 22 22
CACM-0078 85 133
CACM-0079 23 23
CACM-0080 27 28
CACM-0081 18 18
CACM-0082 36 45
CACM-0083 24 24
CACM-0084 37 43
CACM-0085 21 21
CACM-0086 37 51
CACM-0087 25 27
CACM-0088 32 33
CACM-0089 30 30
CACM-0090 26 26
CACM-0091 20 20
CACM-0092 70 98
CACM-0093 32 39
CACM-0094 33 43
CACM-0095 75 107
CACM-0096 65 86
CACM-0097 29 31
CACM-0098 24 25
CACM-0099 19 20
CACM-0100 22 22
CACM-0101 18 18
CACM-0102 25 25
CACM-0103 83 116
CACM-0104 84 121
CACM-0105 26 26
CACM-0106 83 126
CACM-0107 20 20
CACM-0108 22 22
CACM-0109 19 19
CACM-0110 16 16
CACM-0111 64 87
CACM-0112 22 22
CACM-0113 19 19
CACM-0114 22 22
CACM-0115 17 17
CACM-0116 69 97
CACM-0117 23 24
CACM-0118 20 20
CACM-0119 18 18
CACM-0120 22 22
CACM-0121 19 19
CACM-0122 24 25
CACM-0123 67 86
CACM-0124 47 62
CACM-0125 18 18
CACM-0126 22 22
CACM-0127 16 16
CACM-0128 18 18
CACM-0129 20 21
CACM-0130 21 21
CACM-0131 21 21
CACM-0132 17 17
CACM-0133 23 23
CACM-0134 24 24
CACM-0135 19 19
CACM-0136 21 21
CACM-0137 22 22
CACM-0138 23 23
CACM-0139 17 18
CACM-0140 19 19
CACM-0141 19 19
CACM-0142 20 21
CACM-0143 28 29
CACM-0144 96 129
CACM-0145 18 18
CACM-0146 60 88
CACM-0147 20 20
CACM-0148 19 19
CACM-0149 32 32
CACM-0150 21 21
CACM-0151 18 18
CACM-0152 19 19
CACM-0153 19 19
CACM-0154 20 20
CACM-0155 15 15
CACM-0156 23 23
CACM-0157 19 19
CACM-0158 19 19
CACM-0159 18 18
CACM-0160 19 19
CACM-0161 20 20
CACM-0162 19 19
CACM-0163 18 20
CACM-0164 21 21
CACM-0165 21 22
CACM-0166 24 24
CACM-0167 20 20
CACM-0168 23 25
CACM-0169 18 18
CACM-0170 22 22
CACM-0171 19 20
CACM-0172 18 18
CACM-0173 19 19
CACM-0174 28 30
CACM-0175 27 27
CACM-0176 22 22
CACM-0177 29 31
CACM-0178 17 17
CACM-0179 24 24
CACM-0180 24 24
CACM-0181 24 24
CACM-0182 24 24
CACM-0183 18 18
CACM-0184 28 29
CACM-0185 92 128
CACM-0186 21 21
CACM-0187 16 16
CACM-0188 23 23
CACM-0189 19 19
CACM-0190 15 15
CACM-0191 19 19
CACM-0192 21 22
CACM-0193 20 20
CACM-0194 20 21
CACM-0195 18 18
CACM-0196 22 22
CACM-0197 18 18
CACM-0198 21 21
CACM-0199 16 17
CACM-0200 21 21
CACM-0201 21 21
CACM-0202 68 95
CACM-0203 26 26
CACM-0204 19 19
CACM-0205 50 58
CACM-0206 17 17
CACM-0207 20 20
CACM-0208 23 23
CACM-0209 21 21
CACM-0210 25 25
CACM-0211 17 18
CACM-0212 16 17
CACM-0213 18 19
CACM-0214 19 20
CACM-0215 22 23
CACM-0216 22 24
CACM-0217 14 15
CACM-0218 19 20
CACM-0219 17 17
CACM-0220 24 25
CACM-0221 20 20
CACM-0222 50 57
CACM-0223 16 16
CACM-0224 76 99
CACM-0225 20 20
CACM-0226 23 24
CACM-0227 15 16
CACM-0228 17 17
CACM-0229 16 16
CACM-0230 20 20
CACM-0231 25 27
CACM-0232 21 22
CACM-0233 20 20
CACM-0234 21 22
CACM-0235 17 17
CACM-0236 46 61
CACM-0237 20 20
CACM-0238 22 25
CACM-0239 25 28
CACM-0240 24 24
CACM-0241 67 113
CACM-0242 50 59
CACM-0243 94 172
CACM-0244 19 19
CACM-0245 25 26
CACM-0246 22 22
CACM-0247 19 19
CACM-0248 61 97
CACM-0249 23 25
CACM-0250 21 21
CACM-0251 53 66
CACM-0252 61 84
CACM-0253 28 30
CACM-0254 83 112
CACM-0255 17 17
CACM-0256 21 21
CACM-0257 19 19
CACM-0258 19 19
CACM-0259 19 20
CACM-0260 19 19
CACM-0261 16 16
CACM-0262 17 18
CACM-0263 20 20
CACM-0264 19 19
CACM-0265 49 61
CACM-0266 22 22
CACM-0267 23 23
CACM-0268 21 21
CACM-0269 19 19
CACM-0270 20 20
CACM-0271 25 26
CACM-0272 61 86
CACM-0273 20 20
CACM-0274 28 28
CACM-0275 22 22
